race,gender,date,zip,income,type,term,interest,principal,approved,adj_bls_2,id
black,male,2017-07-01,60615.0,7003.0,personal,24,4.4721135492894515,11589,False,1.15,AP20177-2-0
white,male,2014-11-01,60611.0,40035.0,home,360,3.6097479084051574,205765,True,0.09,AP201411-0-8
other,female,2018-09-01,60614.0,,auto,60,7.08773817353962,37559,True,1.95,AP20189-3-15
asian,non-binary,2018-08-01,60626.0,90654.0,auto,72,7.273849381791936,37333,True,1.91,AP20188-2-58
other,female,2018-04-01,60614.0,,auto,84,8.909337538959893,12935,True,1.69,AP20184-2-74
white,male,2012-03-01,60614.0,163865.0,home,240,0.9151181505195193,1155242,True,0.13,AP20123-2-64
hispanic/latino,female,2012-09-01,60623.0,684.0,home,300,3.9252350063681427,5021,False,0.14,AP20129-0-81
white,female,2015-10-01,60614.0,,home,300,1.0561524883511355,642432,True,0.12,AP201510-0-50
black,female,2013-09-01,60637.0,22201.0,home,360,4.416694309892128,168789,False,0.08,AP20139-2-23
 black,female,2015-05-01,60623.0,11592.0,auto,72,6.479752663910842,6106,False,0.12,AP20155-2-56
white,male,2015-07-01,60611.0,,home,300,6.081549109226301,1464506,True,0.13,AP20157-3-77
white,female,2014-04-01,60615.0,5143.0,home,360,4.57621979617241,33797,False,0.09,AP20144-2-27
white,male,2018-06-01,60614.0,5233.0,personal,12,16.32297711387515,7312,False,1.82,AP20186-0-68
black,male,2015-06-01,60623.0,31571.0,personal,12,19.940069671939995,38152,True,0.13,AP20156-2-94
black,male,2016-02-01,60615.0,17098.0,auto,72,4.458911165670483,2846,False,0.38,AP20162-0-41
black,male,2014-06-01,60611.0,165786.0,home,300,2.811817639520418,935690,True,0.1,AP20146-3-43
hispanic/latino,male,2015-12-01,60625.0,10370.0,auto,60,5.507306804577365,16903,True,0.24,AP201512-1-30
black ,male,2015-12-01,60637.0,10374.0,personal,18,18.94917163812759,13228,True,0.24,AP201512-2-36
other,,2015-03-01,60614.0,,auto,60,5.242775904492994,26312,True,0.11,AP20153-0-97
black,male,2016-02-01,60625.0,,auto,84,4.750239866712744,16212,True,0.38,AP20162-2-35
black,female,2015-02-01,60623.0,16861.0,personal,12,8.721391974490313,6412,False,0.11,AP20152-0-47
white ,male,2015-06-01,60614.0,30987.0,home,240,0.1338750484920178,227214,False,0.13,AP20156-2-47
other,female,2017-01-01,60625.0,,home,240,1.985946914307985,447525,True,0.65,AP20171-1-39
white,,2016-03-01,60625.0,88085.0,home,180,1.0184396471443038,525604,False,0.36,AP20163-0-22
black,male,2012-07-01,60637.0,78902.0,home,360,2.8884397593472197,471564,False,0.16,AP20127-3-70
black,male,2013-02-01,60637.0,3190.0,personal,48,4.808874133839424,5909,False,0.15,AP20132-0-37
White,female,2016-01-01,60626.0,15063.0,personal,48,11.153332566455898,9228,False,0.34,AP20161-0-92
hispanic/latino,female,2015-01-01,60625.0,1252.0,personal,48,13.231811131478882,1528,False,0.11,AP20151-3-13
white,male,2015-07-01,60614.0,81039.0,home,360,4.627052418331366,527583,True,0.13,AP20157-2-62
black,male,2016-04-01,60637.0,44096.0,auto,84,6.796455633417315,39259,False,0.37,AP20164-0-15
black,female,2014-02-01,60637.0,4926.0,personal,18,7.888143579009304,4386,False,0.07,AP20142-0-13
black,male,2013-11-01,60623.0,30370.0,home,180,0.7763224896331739,239440,False,0.08,AP201311-2-70
hispanic/latino,male,2013-12-01,60623.0,24815.0,home,240,6.93695833651654,177566,False,0.09,AP201312-3-50
white,female,2013-08-01,60614.0,,home,240,3.630723823976527,1197244,False,0.08,AP20138-1-5
black,male,2018-04-01,60615.0,3335.0,auto,84,6.216821578542067,16612,False,1.69,AP20184-1-78
hispanic/latino,female,2018-02-01,,92431.0,auto,72,6.173936575789149,3128,False,1.42,AP20182-0-7
white,female,2017-07-01,60625.0,,personal,60,11.020044025932915,47887,True,1.15,AP20177-2-1
white,female,2012-07-01,60637.0,33633.0,auto,72,5.543890896266762,20382,False,0.16,AP20127-3-28
Hispanic/latino,male,2013-10-01,60625.0,49802.0,auto,72,6.78231202367367,2197,False,0.09,AP201310-3-35
hispanic/latino,male,2015-12-01,60626.0,24011.0,auto,84,2.9752990329149736,23189,False,0.24,AP201512-3-94
white,male,2016-10-01,60626.0,37772.0,personal,24,11.712273863298224,4448,False,0.4,AP201610-2-61
white,male,2013-04-01,60611.0,13050.0,auto,84,3.342058749419181,12471,True,0.15,AP20134-0-45
white,male,2018-08-01,60626.0,33625.0,auto,72,5.31888598126265,32225,False,1.91,AP20188-2-100
black,male,2016-01-01,60623.0,19043.0,personal,48,10.068147791985336,18667,True,0.34,AP20161-2-27
other,female,2018-10-01,60611.0,378.0,personal,24,5.331545379490189,278,False,2.19,AP201810-0-93
black,female,2017-11-01,60637.0,73030.0,home,300,4.548088681822641,516070,False,1.16,AP201711-3-58
other,female,2017-09-01,60614.0,,auto,72,7.089119171828548,15632,True,1.15,AP20179-1-41
other,female,2012-12-01,60614.0,12748.0,home,240,6.058825109613824,90124,False,0.16,AP201212-2-35
black,female,2017-06-01,60623.0,,personal,24,12.699308053466247,80185,True,1.04,AP20176-2-78
asian,male,2014-06-01,60626.0,67713.0,auto,72,5.108702792604313,83587,False,0.1,AP20146-1-85
white,male,2018-09-01,60626.0,73971.0,home,360,5.132788137145071,591989,True,1.95,AP20189-3-67
white,male,2018-07-01,60625.0,23390.0,auto,72,7.349043192530241,9649,True,1.91,AP20187-1-58
white,male,2017-03-01,60614.0,252299.0,auto,60,4.828340951939055,135727,True,0.79,AP20173-2-85
black,male,2018-02-01,60626.0,35407.0,auto,84,9.356501499002581,33736,False,1.42,AP20182-1-77
other,female,2013-04-01,60614.0,10256.0,auto,84,5.090304051729069,9865,True,0.15,AP20134-1-12
white,female,2015-09-01,60626.0,29460.0,auto,84,4.668101626104946,17879,False,0.14,AP20159-1-83
hispanic/latino,female,2016-03-01,60623.0,29883.0,auto,72,6.435442296253005,39967,False,0.36,AP20163-0-16
white,female,2011-01-01,60623.0,18662.0,home,360,3.285690211711364,91576,False,0.17,AP20111-1-21
white,female,2015-08-01,60614.0,114300.0,auto,84,5.39747095568253,7037,True,0.14,AP20158-1-54
white,female,2013-12-01,60611.0,,home,180,2.6275090717013825,1160284,True,0.09,AP201312-1-98
hispanic/latino,male,2017-10-01,60615.0,51871.0,auto,84,6.701773657520533,6633,False,1.15,AP201710-2-91
asian,male,2016-11-01,60611.0,94424.0,home,180,2.9589088652119684,612169,False,0.41,AP201611-0-80
white,female,2018-08-01,60625.0,,auto,60,7.262453124914053,27558,True,1.91,AP20188-1-24
black,female,2015-11-01,60626.0,59699.0,home,240,3.292629627872171,383162,False,0.12,AP201511-0-89
blck,female,2013-04-01,60623.0,23764.0,auto,60,3.504080030554459,362,False,0.15,AP20134-0-42
white,male,2015-04-01,60637.0,64870.0,home,300,1.8234761287466976,405551,False,0.12,AP20154-1-78
black,female,2012-10-01,60615.0,111935.0,home,360,3.0278017037309786,794094,False,0.16,AP201210-2-27
hispanic/latino,female,2013-12-01,60625.0,46334.0,auto,84,4.822461823382415,2739,False,0.09,AP201312-2-83
other,male,2017-01-01,60625.0,38361.0,auto,72,6.002800760996226,24942,True,0.65,AP20171-0-2
other,male,2018-11-01,60625.0,46040.0,personal,48,7.858896168150184,26120,False,2.2,AP201811-0-65
hispanic/latino,female,2012-08-01,60623.0,33192.0,auto,72,5.642035818674023,14175,False,0.13,AP20128-1-48
blck,female,2011-12-01,60615.0,61074.0,home,360,4.131633500916185,419839,False,0.07,AP201112-1-1
,female,2016-06-01,60615.0,22268.0,personal,60,4.479656884427649,3474,False,0.38,AP20166-3-53
,male,2018-03-01,60623.0,56937.0,auto,72,6.999346211445856,62031,False,1.51,AP20183-3-43
white,male,2018-11-01,60614.0,121516.0,auto,72,8.20334389870679,35295,True,2.2,AP201811-1-74
black,female,2013-08-01,60625.0,,auto,72,5.066033630982655,19792,True,0.08,AP20138-3-73
hispanic/latino,male,2016-01-01,60626.0,45301.0,auto,84,6.139690065842067,3444,False,0.34,AP20161-2-7
hispanic/latino,female,2017-09-01,60625.0,4217.0,personal,12,8.957189743881731,188,False,1.15,AP20179-3-59
other,male,2011-08-01,60623.0,44318.0,auto,84,4.237379423229607,55767,False,0.1,AP20118-2-58
black,female,2018-06-01,60623.0,28301.0,personal,18,6.665503728056764,16250,False,1.82,AP20186-0-74
hispanic/latino,male,2018-02-01,60623.0,55719.0,auto,60,7.53125938867208,51146,False,1.42,AP20182-2-25
hispanic/latino,female,2018-01-01,60623.0,417.0,home,180,3.9211046938455167,2633,False,1.41,AP20181-0-91
White,female,2012-10-01,60611.0,,home,180,5.769793284562377,559003,False,0.16,AP201210-1-41
black,male,2015-09-01,60637.0,60658.0,auto,84,5.190243699397352,11524,False,0.14,AP20159-1-14
black,female,2011-01-01,60626.0,,auto,72,5.086412481881408,26791,True,0.17,AP20111-2-21
black,male,2017-07-01,60625.0,46428.0,auto,60,4.991415140839095,31391,True,1.15,AP20177-1-81
hispanic/latino,female,2017-08-01,60623.0,29151.0,auto,60,5.958455617143744,3773,False,1.16,AP20178-1-64
black,male,2015-07-01,60623.0,49420.0,home,360,1.4969415796302763,371289,False,0.13,AP20157-2-46
hispanic/lation,female,2013-07-01,60623.0,489.0,personal,60,9.19078614136907,547,False,0.09,AP20137-1-48
white,female,2012-02-01,60625.0,,personal,12,12.73779637888422,58885,True,0.1,AP20122-1-15
white,female,2018-02-01,60614.0,87306.0,home,180,5.03718282762012,696621,False,1.42,AP20182-1-81
black,female,2012-10-01,60615.0,3221.0,personal,18,8.87818053673455,2400,False,0.16,AP201210-1-42
white,female,2014-05-01,60614.0,201462.0,home,180,2.221323610921258,1384734,False,0.09,AP20145-0-82
white,male,2016-10-01,60614.0,19081.0,auto,84,7.261472468849708,17710,True,0.4,AP201610-3-35
other,male,2013-02-01,60626.0,111511.0,home,360,4.139661184478393,787515,True,0.15,AP20132-0-31
white,female,2014-09-01,60614.0,106003.0,personal,12,4.762501582889828,89404,True,0.09,AP20149-0-56
black,male,2017-06-01,60637.0,,personal,12,15.611138235468438,25542,True,1.04,AP20176-3-92
black,female,2011-04-01,60623.0,14858.0,home,240,4.062088194385498,100784,False,0.1,AP20114-3-52
black,female,2017-02-01,60615.0,61533.0,home,360,4.141323107501178,392921,False,0.66,AP20172-0-27
other,female,2014-05-01,60623.0,43757.0,personal,60,0.3746477429266656,33314,False,0.09,AP20145-0-43
black,male,2016-12-01,60626.0,16779.0,personal,24,13.351130969419941,33075,True,0.54,AP201612-3-21
white,male,2013-06-01,60623.0,5261.0,auto,84,6.8902029746652556,17760,False,0.09,AP20136-1-4
other,male,2012-03-01,60611.0,60888.0,home,360,3.3434843619393178,404715,True,0.13,AP20123-0-12
hispanic/latino,female,2014-01-01,60625.0,,auto,72,5.1053356893806265,113524,True,0.07,AP20141-2-35
white,male,2013-01-01,60614.0,60876.0,home,360,5.115344702009255,523908,True,0.14,AP20131-3-14
black,male,2016-05-01,60626.0,64425.0,home,360,2.1395068936022135,353691,False,0.37,AP20165-2-84
black,female,2015-03-01,60623.0,21888.0,home,180,0.8106743312303052,135499,False,0.11,AP20153-2-80
white,female,2016-07-01,60626.0,28790.0,personal,12,3.2026275753812095,25838,False,0.39,AP20167-2-30
black,male,2017-08-01,60637.0,92781.0,home,360,4.191670028242184,653576,True,1.16,AP20178-3-46
other,female,2017-04-01,60625.0,,personal,24,11.982477008390257,10036,True,0.9,AP20174-1-65
white,male,2018-07-01,60611.0,2178.0,personal,24,13.521310919047133,608,False,1.91,AP20187-0-36
other,male,2016-10-01,60625.0,73129.0,auto,60,4.61876967292269,8183,False,0.4,AP201610-0-92
asiaan ,female,2018-05-01,60625.0,,personal,48,14.787577558877961,45434,True,1.7,AP20185-1-86
white,female,2018-11-01,60614.0,79590.0,auto,84,6.664948812600691,3064,False,2.2,AP201811-0-59
black,female,2017-07-01,60615.0,38670.0,auto,84,6.731871058844336,23274,True,1.15,AP20177-2-96
white,male,2018-07-01,60614.0,226697.0,home,300,7.119085462442959,1411068,True,1.91,AP20187-3-39
black,male,2018-04-01,60614.0,102207.0,auto,60,8.903069879222095,8548,True,1.69,AP20184-2-17
other,male,2011-04-01,60625.0,,home,240,5.803381779156455,618721,True,0.1,AP20114-3-99
black,male,2012-05-01,60623.0,53324.0,personal,12,10.907594061852349,61942,True,0.16,AP20125-1-68
white,male,2018-11-01,60626.0,116408.0,home,240,2.5502463030142772,982479,False,2.2,AP201811-0-77
black,female,2016-05-01,60623.0,31582.0,personal,18,7.792758262532632,53705,True,0.37,AP20165-3-46
hispanic/latino,male,2012-07-01,60623.0,41400.0,personal,48,8.54987785290842,28715,False,0.16,AP20127-1-56
hispanic/latino,female,2011-05-01,60623.0,64772.0,home,360,4.178701484495239,496733,False,0.09,AP20115-0-8
,female,2017-08-01,60623.0,38326.0,auto,84,4.683181148038179,34594,False,1.16,AP20178-3-5
other,female,2011-11-01,60625.0,,auto,84,4.77651387281189,7579,True,0.08,AP201111-2-32
white,female,2011-02-01,60614.0,120489.0,home,300,2.8601657846613597,961097,True,0.16,AP20112-2-26
white,male,2016-10-01,60614.0,78006.0,personal,24,9.015877210360522,78253,True,0.4,AP201610-2-19
black,male,2015-02-01,60637.0,56168.0,personal,12,10.459579715256798,101996,True,0.11,AP20152-2-92
black,female,2015-01-01,60637.0,68864.0,home,180,5.225434520526755,417409,False,0.11,AP20151-0-69
black,female,2018-11-01,60623.0,9806.0,personal,18,15.072070777891067,4638,False,2.2,AP201811-1-60
black,male,2013-05-01,60626.0,40847.0,personal,48,16.42105427502688,23367,False,0.11,AP20135-0-27
black,female,2018-04-01,60637.0,44572.0,home,360,2.132131535289333,280962,False,1.69,AP20184-2-7
hispanic/latino,male,2016-11-01,60625.0,136178.0,home,360,5.684246642404064,737912,True,0.41,AP201611-2-62
hispanic/latino,male,2016-11-01,60625.0,136178.0,home,360,5.684246642404064,737912,True,0,AP201611-2-62
hispanic/latino,male,2016-12-01,60623.0,18615.0,personal,60,4.728108183953386,24834,True,0.54,AP201612-3-48
black,,2013-09-01,60637.0,,personal,18,11.659704053093273,12592,True,0.08,AP20139-0-46
,female,2017-12-01,60637.0,65161.0,home,300,1.7804207466159656,603251,False,1.3,AP201712-1-91
black,male,2011-08-01,60623.0,70647.0,home,180,2.3916231146578153,388218,False,0.1,AP20118-3-79
white,female,2015-09-01,60626.0,32274.0,auto,84,3.6602911193289103,9012,False,0.14,AP20159-2-11
white,female,2012-07-01,60614.0,71401.0,home,360,3.644015607801677,458391,True,0.16,AP20127-0-72
white,male,2012-10-01,60626.0,,home,360,1.0560985801550207,384676,False,0.16,AP201210-2-18
black,male,2017-05-01,60623.0,50585.0,home,180,5.812491447726558,365465,False,0.91,AP20175-0-53
hispanic/latino,female,2018-01-01,60623.0,33455.0,auto,72,4.621743460227317,18488,False,1.41,AP20181-1-27
asian,female,2018-09-01,60626.0,103161.0,auto,72,8.587779834868952,38307,True,1.95,AP20189-3-89
white,female,2018-07-01,60611.0,,auto,72,5.954181711917964,34182,True,1.91,AP20187-2-86
black,female,2017-01-01,60626.0,,home,300,5.608111171661209,661592,True,0.65,AP20171-0-71
other,male,2014-10-01,60637.0,14530.0,auto,72,4.118177898238443,18306,False,0.09,AP201410-2-64
white,male,2015-12-01,60626.0,17266.0,personal,24,18.968960178702332,18495,True,0.24,AP201512-1-48
asian,female,2013-12-01,60611.0,,home,300,2.8940681749930985,742965,True,0.09,AP201312-0-22
hispanic/latino,female,2016-10-01,60625.0,,personal,12,9.105985178251908,12920,False,0.4,AP201610-2-22
other,female,2016-04-01,60614.0,,auto,60,4.361114155510145,23801,True,0.37,AP20164-0-98
black,male,2016-01-01,60614.0,39062.0,personal,18,4.110263836983718,35527,True,0.34,AP20161-3-30
,male,2017-02-01,60626.0,37873.0,auto,84,5.1373263792102,14187,False,0.66,AP20172-0-23
other,male,2018-10-01,60615.0,21359.0,personal,60,11.128961443363346,18549,False,2.19,AP201810-3-81
white,male,2017-05-01,60626.0,31145.0,auto,72,6.683240754412461,11189,False,0.91,AP20175-1-61
black,male,2018-03-01,60615.0,92639.0,auto,72,6.164999041519913,66278,False,1.51,AP20183-3-29
white,female,2013-05-01,60625.0,41649.0,home,300,4.966590449668918,301326,True,0.11,AP20135-0-75
other,female,2017-09-01,60615.0,,personal,48,6.568773515274065,64844,True,1.15,AP20179-2-48
black,female,2012-09-01,60626.0,,auto,72,5.517934074585217,11947,False,0.14,AP20129-1-14
white,male,2011-06-01,60615.0,17689.0,personal,48,8.833990238232131,25101,True,0.09,AP20116-1-42
white,female,2013-05-01,60614.0,,auto,72,4.609653435241519,9186,True,0.11,AP20135-0-37
hispanic/latino,male,2011-08-01,60623.0,64825.0,home,360,0.6571251908967176,453983,False,0.1,AP20118-0-85
white,female,2017-08-01,60615.0,74815.0,home,180,5.6551562547490875,541557,False,1.16,AP20178-3-26
white,female,2011-04-01,,51395.0,auto,72,4.302152439861686,4784,False,0.1,AP20114-2-2
hispanic/latino,female,2014-10-01,60623.0,42109.0,home,360,3.6021574628259323,258230,False,0.09,AP201410-0-83
hispanic/latino,female,2014-10-01,60623.0,42109.0,home,360,3.6021574628259323,258230,False,0,AP201410-0-83
white,male,2017-07-01,60614.0,49415.0,auto,84,7.936335486465866,38530,True,1.15,AP20177-2-44
asian,male,2017-02-01,60625.0,96941.0,home,240,6.228346651466189,525049,True,0.66,AP20172-0-49
black,male,2015-06-01,60623.0,19986.0,personal,60,9.29852078652176,28665,True,0.13,AP20156-0-41
black,female,2011-08-01,60623.0,12891.0,personal,12,11.395459119548986,11218,False,0.1,AP20118-2-90
black,male,2016-05-01,60614.0,120522.0,home,300,2.8024956924356537,808995,True,0.37,AP20165-0-42
hispanic/latino,female,2017-10-01,60625.0,54318.0,personal,48,11.864130319578507,63706,True,1.15,AP201710-2-70
other,male,2018-05-01,60615.0,22339.0,auto,72,8.676876948305535,27340,False,1.7,AP20185-0-29
black,female,2013-08-01,60623.0,22606.0,auto,72,3.463766661512574,4035,False,0.08,AP20138-3-23
other,male,2011-07-01,60625.0,75901.0,home,360,3.4515836646204634,457009,True,0.07,AP20117-2-77
white,male,2013-11-01,60611.0,119745.0,home,180,3.0597660820702233,877225,False,0.08,AP201311-1-46
asian,male,2015-06-01,60614.0,117340.0,home,180,5.980042440847427,871397,False,0.13,AP20156-3-43
white,female,2013-04-01,60625.0,25508.0,personal,60,10.216710858454434,38042,True,0.15,AP20134-1-91
white,male,2013-05-01,60614.0,14760.0,auto,72,4.582478598071473,17533,True,0.11,AP20135-2-92
other,male,2015-03-01,60615.0,62218.0,auto,84,6.675557670822441,45757,False,0.11,AP20153-2-61
white,female,2013-02-01,60625.0,,personal,18,12.693841697400694,85365,True,0.15,AP20132-0-42
black,female,2011-05-01,60623.0,41508.0,home,360,4.1168748042381775,260165,False,0.09,AP20115-3-50
hispanic/latino,female,2018-09-01,60615.0,104647.0,home,180,5.192702803011938,657650,False,1.95,AP20189-2-30
other,female,2014-11-01,60611.0,2961.0,auto,72,5.28239753449058,13475,False,0.09,AP201411-2-15
black,male,2013-03-01,60623.0,43946.0,home,300,3.2229974938211803,326501,False,0.14,AP20133-0-53
black,male,2015-03-01,60637.0,1678.0,personal,48,14.752628713029004,1326,False,0.11,AP20153-0-99
hispanic/latino,male,2018-03-01,60623.0,16382.0,personal,60,3.317826637379442,7664,False,1.51,AP20183-1-14
white,male,2013-10-01,60611.0,,auto,72,4.4956734634009585,8979,True,0.09,AP201310-2-73
black,female,2017-10-01,60637.0,91592.0,auto,72,6.211529648969002,64039,False,1.15,AP201710-2-13
asian,male,2011-05-01,60625.0,68656.0,home,180,4.355300825418091,497529,False,0.09,AP20115-3-54
white,male,2017-02-01,60625.0,123293.0,home,360,1.2954424144088783,956542,True,0.66,AP20172-2-91
hispanic/latino,female,2012-06-01,60623.0,38535.0,personal,60,10.027279344452484,46827,True,0.16,AP20126-0-33
hispanic/latino,male,2016-10-01,60623.0,28947.0,auto,72,5.976216733988267,34847,False,0.4,AP201610-2-6
white,male,2016-09-01,60611.0,188269.0,personal,18,17.098115156645214,28959,False,0.4,AP20169-2-0
asian,female,2015-12-01,60626.0,9019.0,personal,48,3.0939730137416923,9331,False,0.24,AP201512-0-87
white,male,2014-11-01,60625.0,165045.0,home,240,2.4239598674538496,1249681,True,0.09,AP201411-1-76
asian,male,2014-07-01,60637.0,43486.0,auto,72,4.511677829014999,37568,False,0.09,AP20147-1-4
black,female,2016-09-01,60637.0,47493.0,personal,60,5.055207538264957,21979,False,0.4,AP20169-3-32
white,female,2018-10-01,60623.0,49716.0,home,300,2.308713913218796,251999,False,2.19,AP201810-0-100
hispanic/latino,male,2015-05-01,60626.0,48705.0,home,180,5.4636305354872325,360591,False,0.12,AP20155-3-86
hispanic/latino,male,,60626.0,48705.0,home,180,5.4636305354872325,360591,False,0.12,AP20155-3-86
white,female,2017-07-01,60625.0,,auto,60,6.589908500493118,66628,True,1.15,AP20177-2-69
hispanic/latino,female,2013-12-01,60625.0,19047.0,personal,48,13.938905200754254,23667,True,0.09,AP201312-2-46
black,male,2017-11-01,60614.0,34852.0,personal,18,7.087639648721291,24240,True,1.16,AP201711-2-94
black,female,2015-12-01,60637.0,,personal,24,7.312804859810674,20167,True,0.24,AP201512-2-66
black,male,2016-01-01,60626.0,36754.0,auto,72,6.718469711262676,1842,False,0.34,AP20161-0-19
hispanic/latino,male,2017-09-01,60625.0,36720.0,personal,60,21.225009411097552,33854,True,1.15,AP20179-0-71
other,female,2016-11-01,60625.0,85286.0,auto,72,5.695515604574302,787,False,0.41,AP201611-0-11
white,female,2014-06-01,60625.0,2271.0,auto,84,5.954572760479273,13637,False,0.1,AP20146-1-40
hispanic/latino,male,2017-06-01,60623.0,42563.0,personal,24,1.9672139495890866,36956,False,1.04,AP20176-1-40
white,male,2014-07-01,60625.0,39912.0,personal,12,5.363448316015888,34005,False,0.09,AP20147-0-68
hispanic/latino,male,2013-10-01,60623.0,17588.0,personal,12,20.718753773064492,9369,False,0.09,AP201310-3-72
